"","id","word","n"
"501","131-6555","120db",2
"502","131-6562","rose",2
"503","131-6563","rose",2
"504","131-6570","women",2
"505","131-6581","rose",2
"506","131-6582","rose",2
"507","131-66","return",2
"508","131-6641","tired",2
"509","131-6667","clinton",2
"510","131-6668","clinton",2
"511","131-6698","quiet",2
"512","131-6699","quiet",2
"513","131-6700","quiet",2
"514","131-6701","quiet",2
"515","131-6702","quiet",2
"516","131-6706","och",2
"517","131-6707","och",2
"518","131-6716","des",2
"519","131-6716","du",2
"520","131-6758","hollywood",2
"521","131-6759","hollywood",2
"522","131-6760","clinton",2
"523","131-6761","tonight",2
"524","131-6762","tonight",2
"525","131-6763","tonight",2
"526","131-6778","der",2
"527","131-6780","der",2
"528","131-6782","der",2
"529","131-6784","der",2
"530","131-6799","female",2
"531","131-6799","victims",2
"532","131-681","white",2
"533","131-6813","ich",2
"534","131-6814","ich",2
"535","131-6815","ich",2
"536","131-6816","ich",2
"537","131-6817","ich",2
"538","131-682","white",2
"539","131-6821","clinton",2
"540","131-6838","clinton",2
"541","131-6839","clinton",2
"542","131-6843","female",2
"543","131-6843","victims",2
"544","131-6844","clinton",2
"545","131-686","wink",2
"546","131-687","wink",2
"547","131-688","wink",2
"548","131-6881","house",2
"549","131-6882","house",2
"550","131-6886","house",2
"551","131-6887","house",2
"552","131-689","wink",2
"553","131-6894","house",2
"554","131-6895","house",2
"555","131-6898","house",2
"556","131-6899","house",2
"557","131-690","wink",2
"558","131-6900","clinton",2
"559","131-6901","clinton",2
"560","131-6902","clinton",2
"561","131-691","wink",2
"562","131-6925","house",2
"563","131-6926","house",2
"564","131-6929","house",2
"565","131-6930","house",2
"566","131-6947","house",2
"567","131-6948","house",2
"568","131-6949","house",2
"569","131-6950","house",2
"570","131-6951","house",2
"571","131-6952","house",2
"572","131-6957","house",2
"573","131-6958","house",2
"574","131-6960","house",2
"575","131-6961","house",2
"576","131-6964","house",2
"577","131-6965","house",2
"578","131-6966","house",2
"579","131-6967","house",2
"580","131-6971","house",2
"581","131-6972","house",2
"582","131-6993","house",2
"583","131-6994","house",2
"584","131-7001","house",2
"585","131-7002","house",2
"586","131-7008","house",2
"587","131-7013","house",2
"588","131-7014","house",2
"589","131-7025","ration",2
