"","topic","term","beta"
"343",1,"accused",0.00162999645455799
"344",2,"accused",6.93977651721416e-272
"345",3,"accused",0.00127074728544465
"346",4,"accused",0.00194511379052778
"347",5,"accused",2.39000590037793e-270
"348",6,"accused",0.00173632664868726
"349",1,"dunwoody",0.00170287360602028
"350",2,"dunwoody",2.90342551022763e-312
"351",3,"dunwoody",8.5264633741193e-312
"352",4,"dunwoody",4.8820353422632e-315
"353",5,"dunwoody",4.45226405046871e-312
"354",6,"dunwoody",4.34113488947859e-58
"355",1,"lobbyist",0.000681149442408111
"356",2,"lobbyist",6.47225996052033e-322
"357",3,"lobbyist",3.08543995827858e-320
"358",4,"lobbyist",4.94065645841247e-324
"359",5,"lobbyist",6.17582057301558e-322
"360",6,"lobbyist",3.43752880912812e-57
"361",1,"shafer",0.00170287360602028
"362",2,"shafer",1.80298734302094e-312
"363",3,"shafer",5.57964911753386e-312
"364",4,"shafer",1.28267351651378e-315
"365",5,"shafer",1.56422988389509e-312
"366",6,"shafer",2.12469920870354e-58
"367",1,"blir",0.000340574721204037
"368",2,"blir",2.20731397453433e-307
"369",3,"blir",3.69917189085961e-300
"370",4,"blir",0.000568751017385359
"371",5,"blir",2.44111125762701e-306
"372",6,"blir",2.21303217696654e-310
"373",1,"och",1.01245319629776e-307
"374",2,"och",5.03516752491208e-312
"375",3,"och",0.00101763653101937
"376",4,"och",0.000568751017385323
"377",5,"och",8.28765963328044e-312
"378",6,"och",1.42800018960837e-314
"379",1,"kiselyov",1.68165730306133e-307
"380",2,"kiselyov",0.00126427010803719
"381",3,"kiselyov",3.25372159733049e-307
"382",4,"kiselyov",9.28580734781402e-310
"383",5,"kiselyov",7.40480162808845e-306
"384",6,"kiselyov",2.10157033115344e-304
"385",1,"los",2.8441209562976e-302
"386",2,"los",0.00252854021607444
"387",3,"los",0.00135684870802572
"388",4,"los",6.45579350815093e-304
"389",5,"los",3.53311812376486e-301
"390",6,"los",3.20169239643457e-80
"391",1,"cute",5.17451295542849e-301
"392",2,"cute",7.75635384016535e-302
"393",3,"cute",2.3893451491836e-300
"394",4,"cute",8.57247516029355e-305
"395",5,"cute",0.000681622574894584
"396",6,"cute",3.25066687625045e-302
"397",1,"att",0.000340574721204008
"398",2,"att",3.72853854792708e-309
"399",3,"att",0.00101763653101939
"400",4,"att",2.17300914324798e-310
"401",5,"att",5.46473676044622e-308
"402",6,"att",7.90661053978097e-312
"403",1,"fr",0.000681149442407988
"404",2,"fr",0.000948202581027871
"405",3,"fr",0.00101763653101949
"406",4,"fr",1.63071690649185e-292
"407",5,"fr",1.73812546540477e-288
"408",6,"fr",7.03847054036646e-291
"409",1,"doc",4.47468377084868e-285
"410",2,"doc",4.30547049612555e-287
"411",3,"doc",0.00339212177006448
"412",4,"doc",5.22597456431635e-288
"413",5,"doc",1.22579368609382e-284
"414",6,"doc",2.98217729669772e-286
"415",1,"jjchc",2.39582312981337e-319
"416",2,"jjchc",6.58589505906382e-321
