"","topic","term","beta"
"372",2,"em",1.81171728136641e-197
"373",3,"em",1.35570782481654e-67
"374",4,"em",2.43724701940933e-25
"375",5,"em",1.58477754981233e-67
"376",6,"em",5.65536814011724e-44
"377",7,"em",0.000576685696939218
"378",8,"em",0.00532462027452861
"379",9,"em",1.71480032413979e-312
"380",10,"em",1.39369189908404e-88
"381",1,"und",4.2857032080333e-36
"382",2,"und",1.65977323997934e-79
"383",3,"und",1.29981069947663e-29
"384",4,"und",0.00749082454394266
"385",5,"und",1.9988131553181e-91
"386",6,"und",2.16616425525209e-91
"387",7,"und",2.23860241242077e-91
"388",8,"und",2.47672188680149e-91
"389",9,"und",1.47267457177217e-171
"390",10,"und",1.29940562903393e-78
"391",1,"garbage",5.97759923210124e-56
"392",2,"garbage",7.55542785476546e-56
"393",3,"garbage",1.10982404745201e-67
"394",4,"garbage",3.72007597602084e-44
"395",5,"garbage",2.5722340358183e-284
"396",6,"garbage",1.35101071790531e-67
"397",7,"garbage",9.28961687218625e-300
"398",8,"garbage",1.39853332664692e-66
"399",9,"garbage",9.50334997852485e-68
"400",10,"garbage",0.00091092349034425
"401",1,"och",3.09347998697628e-47
"402",2,"och",1.88905362595156e-79
"403",3,"och",2.2434587067655e-35
"404",4,"och",0.0034841044390431
"405",5,"och",2.37555896315361e-91
"406",6,"och",8.47217156933973e-31
"407",7,"och",2.66155622661434e-91
"408",8,"och",2.94339771976619e-91
"409",9,"och",2.7540282002917e-47
"410",10,"och",1.15904640340846e-79
"411",1,"venitadam",8.22063120861277e-104
"412",2,"venitadam",9.07944096116655e-92
"413",3,"venitadam",1.69386783148875e-80
"414",4,"venitadam",8.19924057687989e-92
"415",5,"venitadam",7.79366838002232e-104
"416",6,"venitadam",4.15062680852524e-62
"417",7,"venitadam",8.98046535207912e-104
"418",8,"venitadam",0.00044371835621062
"419",9,"venitadam",3.57159487923213e-104
"420",10,"venitadam",4.73514422784668e-92
"421",1,"kids",1.11699638443479e-93
"422",2,"kids",6.44556709735315e-310
"423",3,"kids",0.00116625415838889
"424",4,"kids",0.00139364177561973
"425",5,"kids",9.22015763740302e-09
"426",6,"kids",5.31751015013901e-07
"427",7,"kids",2.99706634170836e-32
"428",8,"kids",6.69753652501808e-117
"429",9,"kids",1.6489208462566e-120
"430",10,"kids",1.01781679358958e-270
"431",1,"cair",4.81412399718476e-37
"432",2,"cair",7.75790545203688e-80
"433",3,"cair",1.03744146829615e-78
"434",4,"cair",0.00749082454394266
"435",5,"cair",7.32967374606959e-92
