tweet,date,text
95,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
96,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
97,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
98,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
99,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
100,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
101,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
102,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
103,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
104,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
105,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
106,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
107,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
108,2/26/18 18:31,Affaire #Darmanin : la seconde plaignante raconte les multiples échanges #BalanceTonPorc #MeToo https://t.co/Ia3my5Qx9y
109,2/26/18 20:14,RT @hiphop_militant: Affaire #Darmanin : la seconde plaignante raconte les multiples échanges #BalanceTonPorc #MeToo https://t.co/Ia3my5Qx9y
110,2/26/18 20:14,"Please read, specially noted.. #SaudiArabia is taking measures against sexual harrasment. @WISE_Leaders @WomenintheWorld @muslimwomenc @sister_hood_mag #MosqueMeToo #MeToo https://t.co/1SAbydE8kk"
111,2/26/18 20:14,"Please read, specially noted.. #SaudiArabia is taking measures against sexual harrasment. @WISE_Leaders @WomenintheWorld @muslimwomenc @sister_hood_mag #MosqueMeToo #MeToo https://t.co/1SAbydE8kk"
112,2/26/18 20:14,"Please read, specially noted.. #SaudiArabia is taking measures against sexual harrasment. @WISE_Leaders @WomenintheWorld @muslimwomenc @sister_hood_mag #MosqueMeToo #MeToo https://t.co/1SAbydE8kk"
113,2/26/18 20:14,"Please read, specially noted.. #SaudiArabia is taking measures against sexual harrasment. @WISE_Leaders @WomenintheWorld @muslimwomenc @sister_hood_mag #MosqueMeToo #MeToo https://t.co/1SAbydE8kk"
114,2/26/18 20:14,"RT @AmyMek: MEDIA &amp; LIBERAL BLACKOUTThis is the REAL #MeToo Movement! HELP MAGNIFY THEIR VOICESGerman women have launched a campaign ca…"
115,2/26/18 20:14,"#BODASGLITZ#AccesoriosParaNoviasyBodas#Exclusivo#Stickers#IDo#MeToo#Love#JustMarried#LoMejorParaTi#VenyEnamorate https://t.co/o1GlIYO9du"
116,2/26/18 20:14,This is what #MeToo now looks like. Way to go #Hollywood and other wealthy #Progressives pushing for #GenderDysphoria acceptance! You really won it on this one hahaha https://t.co/4mwX3e9PFh
117,2/26/18 20:14,RT @vonny_bravo: Still staring into the abyss. We see you. #metoo #timesup https://t.co/qnCvrkG6sX
118,2/26/18 15:10,#BAHRAMarch will feature Steve Bogue talking about #SexualHarassment &amp; the #metoo movement. RSVP today 3/21 @woodenlegsbrew https://t.co/FiKqrpyyAN
119,2/26/18 20:14,RT @BAHRABoard: #BAHRAMarch will feature Steve Bogue talking about #SexualHarassment &amp; the #metoo movement. RSVP today 3/21 @woodenlegsbrew…
120,2/26/18 20:14,RT @BAHRABoard: #BAHRAMarch will feature Steve Bogue talking about #SexualHarassment &amp; the #metoo movement. RSVP today 3/21 @woodenlegsbrew…
121,2/26/18 20:14,RT @MonicaLewinsky: Me on #MeToo #Timesup (...and some other thoughts) for @VanityFair @VFHIVE https://t.co/u9Ta13RWqB
122,2/26/18 20:14,RT @MonicaLewinsky: Me on #MeToo #Timesup (...and some other thoughts) for @VanityFair @VFHIVE https://t.co/u9Ta13RWqB
123,2/26/18 20:14,RT @MonicaLewinsky: Me on #MeToo #Timesup (...and some other thoughts) for @VanityFair @VFHIVE https://t.co/u9Ta13RWqB
124,2/26/18 20:14,"RT @circuswoman: ________ #metoo __ _____ ____ __,__________ __ ___ ______ __ ______ _____.______ ______ __ ____ ____ __ __ _ ____ _______…"
125,2/26/18 20:14,"RT @Two_Wing: #METOO _____ ___ ____…____ 2002_ 17_, _3 ____ 25___ 3_ ____ ___…__ __ ____ _____ ___ ___ ____…___ __ ____ __ ____ _____ __…"
126,2/26/18 20:12,Monica Lewinsky: Emerging from “the House of Gaslight” in the Age of #MeToo https://t.co/ueK2ob7Diy
127,2/26/18 20:14,"#MonicaLewinsky: #MeToo... Actions have consequences. You were an adult, Monica.  You were not drugged, attacked in an alley, kidnapped or incested. YOU chose to have an affair w/powerful married man. https://t.co/ueK2ob7Diy"
128,2/26/18 20:15,Weinstein Co. Declares Bankruptcy As NY Attorney General Kills Bailout: It's been almost five months exactly since the New York Times launched the #MeToo movement with its initial expose about disgraced Hollywood studio head Harvey Weinstein's https://t.co/0Sqll3L1T5 https://t.co/JKXnIbE5ph
129,2/26/18 20:15,@Blue__America @CapitolChris You are more concerned with (factual/confirmed) reporting of the offenders (4-10 male party delegates) than the victim (female politician getting anti-rape phrase yelled at her as a taunt). Could you have illustrated my point any clearer than if I'd scripted it? #MeToo #TimesUp
