id,tokens,tweet
48,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
49,"['Thank', 'Louisiana', 'volunteers', 'met', 'legislators', 'today', 'Baton', 'Rouge', 'ask']",Thank you to all of the Louisiana volunteers who met with legislators today in Baton Rouge to ask them to re
50,"['Now', ""ya'll"", 'understand', 'takes', 'knee', '#AltonSterling']",Now do ya'll understand why takes a knee? #AltonSterling
51,"[""I'll"", 'kill', 'bitch', 'Words', 'Alton', 'Sterling', 'heard', 'murdered', 'police', 'officer', 'He', 'victim']","I'll kill you, bitch. Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of"
52,"['#StephonClark', 'cell', 'phone', '#TamirRice', 'toy', 'gun', '#WalterScott', 'running', 'away', '#SandraBland', 'broken', 'tail', 'light']",#StephonClark had a cell phone. #TamirRice had a toy gun #WalterScott was running away #SandraBland had a broken tail light #
53,"['These', 'egregious', 'reminders', 'repeated', 'injustice', 'lack', 'police', 'accountability', '#AltonSterling', 'latest', 'victim']",These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest victim
54,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
55,"['Before', 'kneeled', 'Kaepernick', 'called', '#AltonSterling', 'lynching', 'He', 'also', 'stated', 'There', 'bodies', 'street', 'ppl', 'getting', 'pai']","Before he kneeled Kaepernick called #AltonSterling a lynching. He also stated: There are bodies in street, ppl getting pai"
56,"['So', '#AltonSterling', 'killers', 'getting', 'charges', '#OfficerNoor', 'charged', 'happened', '#BlueLivesMatter']","So #AltonSterling killers are getting no charges but #OfficerNoor is charged, what happened to #BlueLivesMatter"
57,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
58,"['Once', 'Im', 'taking', 'knee', 'protest', 'cold-blooded', 'murders', 'Stephon', 'Clark', 'Philando', 'Castile', 'Eric', 'Garner', 'Michael', 'Bro']","Once again Im taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro"
59,"['Let', 'say', 'Officers', 'rarely', 'get', 'charged', 'killings', 'blk', 'folks', 'country', 'even', 'rarely']",Let me say this again: Officers rarely get charged with the killings of blk folks in this country - and even more rarely
60,"['This', 'morning', '#FrontPage', 'w', '/', '#DominiqueDiprima', 'Civil', 'Rights', 'Attorney', 'Caree', 'Harper', '#AltonSterling', '#StephonClark']",This morning on #FrontPage now w/ #DominiqueDiprima Civil Rights Attorney Caree Harper on #AltonSterling #StephonClark #
61,"['These', 'egregious', 'reminders', 'repeated', 'injustice', 'lack', 'police', 'accountability', '#AltonSterling', 'latest']",These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest 
62,"['Jane', 'Elliott', 'If', 'white', 'person', 'would', 'happy', 'receive', 'treatment', 'black', 'citizens', 'thi']","Jane Elliott: If you, as a white person, would be happy to receive the same treatment as our black citizens do in thi"
63,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
64,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
65,"['No', '#TraitorTot', 'local', 'issue', 'It', 'DISGUSTING', 'NATIONAL', 'SHAME', 'These', 'people', 'YOU', 'responsibl']","No, #TraitorTot, this isn't just a local issue. It is a DISGUSTING NATIONAL SHAME. These are people YOU are responsibl"
66,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
67,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
68,"['Remember', 'names', '#StephonClark', '#TerenceCrutcher', '#PhilandoCastile', '#SamDubose', '#KeithLamontScott', '#AltonSterling', '#SandraBla']",Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla
69,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
70,"['seeing', 'colonizer', 'feel', '#AltonSterling', 'well', 'black', 'bodies', '#DearWhiteMaleTeens']","after seeing how the colonizer and how they feel about #AltonSterling as well as other black bodies, #DearWhiteMaleTeens"
71,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
72,"['In', 'Baton', 'Rouge', 'Louisiana', 'observes', 'moment', 'silence', 'victims', 'gun', 'violence', 'including', '#AltonSterlin']","In Baton Rouge, Louisiana observes a moment of silence for victims of gun violence, including #AltonSterlin"
73,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
74,"[""I'll"", 'kill', 'bitch', 'Words', 'Alton', 'Sterling', 'heard', 'murdered', 'police', 'officer', 'He', 'victim']","I'll kill you, bitch. Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of"
75,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
76,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
77,"['Thank', 'Louisiana', 'volunteers', 'met', 'legislators', 'today', 'Baton', 'Rouge', 'ask']",Thank you to all of the Louisiana volunteers who met with legislators today in Baton Rouge to ask them to re
78,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
