"","topic","term","beta"
"373",1,"amen",3.53981175977961e-05
"374",2,"amen",5.49803329560599e-05
"375",3,"amen",0.000111394209153529
"376",4,"amen",4.09546483495335e-05
"377",5,"amen",8.21988197569874e-05
"378",6,"amen",3.23967368619842e-05
"379",1,"don",0.000333804190225104
"380",2,"don",0.00144820026349607
"381",3,"don",0.0113188047943578
"382",4,"don",0.00532614454214757
"383",5,"don",0.0109714623419456
"384",6,"don",0.00436823110712637
"385",1,"na",0.00016694027503378
"386",2,"na",1.09997369233142e-06
"387",3,"na",0.000261316321213429
"388",4,"na",9.3839600577803e-05
"389",5,"na",0.000156186259856255
"390",6,"na",1.5111077135848e-05
"391",1,"nagpapanggap",1.61624452561066e-06
"392",2,"nagpapanggap",3.86956703864015e-07
"393",3,"nagpapanggap",8.51683458875254e-06
"394",4,"nagpapanggap",4.54019330705729e-05
"395",5,"nagpapanggap",1.62563110602228e-06
"396",6,"nagpapanggap",1.92378143331763e-06
"397",1,"pangulo",5.30425350853132e-06
"398",2,"pangulo",2.2796055760163e-06
"399",3,"pangulo",7.31986959508569e-07
"400",4,"pangulo",4.9691995775235e-05
"401",5,"pangulo",1.44930205256952e-06
"402",6,"pangulo",5.10750503420097e-08
"403",1,"jews",9.97567631218134e-06
"404",2,"jews",6.59670974169121e-05
"405",3,"jews",8.72421270815483e-05
"406",4,"jews",9.83445937832483e-06
"407",5,"jews",4.40156940349191e-05
"408",6,"jews",1.43980402449059e-06
"409",1,"country",0.00101588951566739
"410",2,"country",0.0017797371155661
"411",3,"country",0.00327794854788968
"412",4,"country",0.000432599264297031
"413",5,"country",0.00235043645165491
"414",6,"country",0.00164420133415832
"415",1,"french",2.12223528772302e-05
"416",2,"french",2.24527181051855e-06
"417",3,"french",1.34506845832932e-05
"418",4,"french",0.000116851562582268
"419",5,"french",6.66215396657392e-06
"420",6,"french",1.80449141190761e-05
"421",1,"house",0.000197059524264593
"422",2,"house",0.00254816195964038
"423",3,"house",0.000742718526708721
"424",4,"house",0.00138340460868736
"425",5,"house",0.000365617931924008
"426",6,"house",0.00106042401845961
"427",1,"2018",0.000753748397442294
"428",2,"2018",0.000252107955025332
"429",3,"2018",0.000793808964366169
"430",4,"2018",0.000490072376168704
"431",5,"2018",0.000165399354003677
"432",6,"2018",6.53815842448813e-05
"433",1,"ban",4.73435152180841e-05
"434",2,"ban",0.00132620334810968
"435",3,"ban",0.00181308847075003
"436",4,"ban",0.00105930983566419
"437",5,"ban",0.000369440849446056
"438",6,"ban",0.00828371993315822
"439",1,"based",9.69809757256725e-06
"440",2,"based",5.14181543147799e-05
"441",3,"based",6.65357376919395e-06
"442",4,"based",2.94387041722933e-06
"443",5,"based",0.000240368280467417
"444",6,"based",7.31811546298602e-06
"445",1,"youre",8.93719288536832e-08
"446",2,"youre",1.9395061745648e-06
"447",3,"youre",6.23581061131466e-07
"448",4,"youre",1.78367525219099e-07
"449",5,"youre",3.16131303352179e-07
"450",6,"youre",5.62536594780699e-05
"451",1,"sa",6.11256219322943e-06
"452",2,"sa",3.83013058492917e-05
"453",3,"sa",0.000121643594573815
"454",4,"sa",6.14900645961659e-05
"455",5,"sa",4.23690889227851e-05
"456",6,"sa",0.000225543190234764
"457",1,"share",0.000146482992263425
"458",2,"share",0.000470142308437008
"459",3,"share",0.000910589491437236
"460",4,"share",0.000960347147995552
"461",5,"share",2.80244528395095e-05
"462",6,"share",0.000399599875775217
"463",1,"0",3.78489896155625e-06
"464",2,"0",2.96600529882516e-06
"465",3,"0",1.42330588985488e-05
"466",4,"0",3.81313841807744e-05
"467",5,"0",1.03592786480567e-05
"468",6,"0",9.8532598922454e-06
"469",1,"bank",5.63656811851361e-05
"470",2,"bank",0.000159869426463225
"471",3,"bank",3.93686079129937e-05
"472",4,"bank",0.000149893245439446
"473",5,"bank",9.52300925170705e-05
"474",6,"bank",5.56155388478453e-05
"475",1,"assault",0.00142313242632111
"476",2,"assault",0.000262799670765301
"477",3,"assault",0.000111978087599679
"478",4,"assault",0.00317447707087204
"479",5,"assault",0.00139854943641151
"480",6,"assault",0.00423983057318381
"481",1,"rifles",0.000327751157332385
"482",2,"rifles",0.000260545865209292
"483",3,"rifles",5.29550545499193e-05
"484",4,"rifles",0.000165737573066944
"485",5,"rifles",0.000155016790432688
"486",6,"rifles",5.18634410946282e-05
"487",1,"driver's",4.58753960054949e-06
"488",2,"driver's",1.28550117480426e-05
"489",3,"driver's",1.07165363904713e-05
"490",4,"driver's",1.02339518253161e-05
"491",5,"driver's",1.45128483540445e-05
"492",6,"driver's",6.67884503063204e-06
"493",1,"stand",0.00368404106454744
"494",2,"stand",0.00188221617536022
"495",3,"stand",0.00155590839161978
"496",4,"stand",0.00366535185836863
"497",5,"stand",0.000433983022047362
"498",6,"stand",0.000811255991193404
"499",1,"holocaust",0.000159666052430152
"500",2,"holocaust",0.000107202445553589
"501",3,"holocaust",0.000207580932066607
"502",4,"holocaust",8.82308049968356e-05
"503",5,"holocaust",0.000132539776431114
"504",6,"holocaust",0.000158210807839365
"505",1,"silent",6.96651108253756e-05
"506",2,"silent",0.000103766372062866
"507",3,"silent",9.40192092327612e-05
"508",4,"silent",0.000112458733536843
"509",5,"silent",7.47573927058911e-05
"510",6,"silent",2.1989325809125e-05
"511",1,"stay",0.000116878042981151
"512",2,"stay",0.000158348583626567
"513",3,"stay",0.000430295258015256
"514",4,"stay",0.000469360891464301
"515",5,"stay",0.000105804272420009
"516",6,"stay",0.000107765568304729
"517",1,"interview",3.50380338578773e-05
"518",2,"interview",8.02211355432448e-05
"519",3,"interview",0.000141361785757574
"520",4,"interview",1.27502532167219e-06
"521",5,"interview",0.000125197427905655
"522",6,"interview",9.33333458269235e-05
"523",1,"violence",0.000801165813296148
"524",2,"violence",0.0340948547121642
"525",3,"violence",0.00329622567299683
"526",4,"violence",0.0386148246585872
"527",5,"violence",0.00372491683168164
"528",6,"violence",0.0028649170393808
"529",1,"laws",0.00895379256053267
"530",2,"laws",0.00425634466021171
"531",3,"laws",0.00628784223207473
"532",4,"laws",0.00152913843425438
"533",5,"laws",0.00234718329337669
"534",6,"laws",0.00956808996621374
"535",1,"trauma",9.7108406485029e-05
"536",2,"trauma",5.62179539513101e-05
"537",3,"trauma",8.77385090110235e-06
"538",4,"trauma",6.27242951141442e-05
"539",5,"trauma",9.24706389775774e-05
"540",6,"trauma",2.06265512373648e-05
"541",1,"bill",0.000343372123509743
"542",2,"bill",0.000875161198739192
"543",3,"bill",0.000204448329134473
"544",4,"bill",0.00105570008004301
"545",5,"bill",0.00122004797039726
"546",6,"bill",0.00470998850589995
"547",1,"love",0.00279833949125033
"548",2,"love",0.00281472357925531
"549",3,"love",0.00336469509109805
"550",4,"love",0.00289373177607653
"551",5,"love",0.00252074731844235
"552",6,"love",0.00592684557778923
"553",1,"purchase",4.9497186586336e-05
"554",2,"purchase",7.26103632878515e-05
"555",3,"purchase",3.44021758643428e-05
"556",4,"purchase",7.64450144479848e-06
"557",5,"purchase",3.10337055845076e-06
"558",6,"purchase",3.14345739415218e-05
"559",1,"kids",0.0114625619321284
"560",2,"kids",0.00290803792896617
"561",3,"kids",0.00736005523747497
"562",4,"kids",0.00160677937510599
"563",5,"kids",0.00301627025052728
"564",6,"kids",0.0151058430295535
"565",1,"disgusting",8.30174682880359e-05
"566",2,"disgusting",3.21479064449851e-05
"567",3,"disgusting",0.000497245554339944
"568",4,"disgusting",8.71405640123823e-05
"569",5,"disgusting",0.000116278840735344
"570",6,"disgusting",0.000115769525065488
"571",1,"vivint",1.17713150851932e-06
"572",2,"vivint",1.17941806656626e-05
"573",3,"vivint",7.74530752862293e-06
"574",4,"vivint",8.93744274292404e-06
"575",5,"vivint",9.51346643067227e-06
"576",6,"vivint",2.03667651263027e-05
"577",1,"weapons",0.00157258601237455
"578",2,"weapons",0.00169393528286321
"579",3,"weapons",0.00170971213770784
"580",4,"weapons",0.00135647818035663
"581",5,"weapons",0.00147857795737142
"582",6,"weapons",0.00423254314998608
"583",1,"fear",0.00053581147054823
"584",2,"fear",0.000200787457689148
"585",3,"fear",0.000595514065149348
"586",4,"fear",0.000327518480407203
"587",5,"fear",2.35422106657255e-05
"588",6,"fear",0.000894444923128895
"589",1,"history",0.000225635789769994
"590",2,"history",0.000492452648316182
"591",3,"history",0.00043724097735143
"592",4,"history",0.000284212603136294
"593",5,"history",7.93014791280087e-05
"594",6,"history",0.000267872245892016
"595",1,"protect",0.00077830329382497
"596",2,"protect",4.50620538490267e-05
"597",3,"protect",0.00086350454964562
"598",4,"protect",3.89970351773623e-05
"599",5,"protect",0.00106197224490302
"600",6,"protect",0.000804352430188069
"601",1,"video",0.000740707748828111
"602",2,"video",8.44262491569819e-05
"603",3,"video",0.000497267362110915
"604",4,"video",0.00114012822356388
"605",5,"video",0.00144397162030648
"606",6,"video",0.00339126466307084
"607",1,"nelson",4.42025459306955e-05
"608",2,"nelson",8.17724329114229e-06
"609",3,"nelson",4.56184385523682e-05
"610",4,"nelson",1.9549820091666e-06
"611",5,"nelson",3.05912501528961e-06
"612",6,"nelson",0.00011499515143108
"613",1,"letting",5.20354087690536e-05
"614",2,"letting",7.97406183560018e-05
"615",3,"letting",0.000200606976911815
"616",4,"letting",2.63519527149316e-05
"617",5,"letting",2.25652073861499e-05
"618",6,"letting",3.52933318261093e-05
"619",1,"children",0.000707869526110519
"620",2,"children",0.00138047809562746
"621",3,"children",0.00318004722339281
"622",4,"children",0.00137655866144048
"623",5,"children",0.00189452490161005
"624",6,"children",0.00629135886440697
"625",1,"bloodmoney",0.000145657598091662
"626",2,"bloodmoney",0.000123458796289912
"627",3,"bloodmoney",0.000226515714514056
"628",4,"bloodmoney",0.00032915742745528
"629",5,"bloodmoney",0.000202688394148941
"630",6,"bloodmoney",0.00012366687829966
"631",1,"terrorist",0.000256044547338009
"632",2,"terrorist",0.000922639462656645
"633",3,"terrorist",0.00152417502850285
"634",4,"terrorist",0.00029487595525357
"635",5,"terrorist",0.000587557782849976
"636",6,"terrorist",4.79445630473692e-05
"637",1,"future",0.000430773825277726
"638",2,"future",0.000735314966147233
"639",3,"future",0.000267584980103337
"640",4,"future",0.000372306663500533
"641",5,"future",0.000358646893512351
"642",6,"future",0.000635881706234751
"643",1,"alright",0.000270996683818221
"644",2,"alright",0.000246793226820806
"645",3,"alright",0.000170619213788741
"646",4,"alright",0.000141424906071696
"647",5,"alright",7.82838968274073e-05
"648",6,"alright",0.00016431798841546
"649",1,"blah",3.3767328689539e-05
"650",2,"blah",5.98040584386076e-06
"651",3,"blah",3.5331132305067e-05
"652",4,"blah",1.16823908932508e-05
"653",5,"blah",5.50526591659725e-06
"654",6,"blah",2.67345438834192e-05
"655",1,"florida",0.00290394811751402
"656",2,"florida",0.00184938229135424
"657",3,"florida",0.00173380458343475
"658",4,"florida",0.00244391141450195
"659",5,"florida",0.000387858796299384
"660",6,"florida",0.00359876757554463
"661",1,"safety",2.03236567162151e-05
"662",2,"safety",0.000451092583918162
"663",3,"safety",0.000949098028030576
"664",4,"safety",0.00207680059434529
"665",5,"safety",0.00183482787747536
"666",6,"safety",0.000226405713416952
