"id","tweet","date","screenName","retweetCount","isRetweet","retweeted","favoriteCount"
101,"Well there it is #altonsterling will get NO JUSTICE!! Now everyone wants to seek ""healing"" 
LET A JURY DECIDE!!!… https://t.co/cXYCBycXcT",2018-03-27 15:29:57,"FIT_PR0",0,FALSE,FALSE,1
102,"RT @BlackBlocBoi: the cops who killed #AltonSterling just got let off with no charges.",2018-03-27 15:29:56,"meganwaples",61,TRUE,FALSE,0
103,"I’m a resident of Baton Rouge. My kids live in his neighborhood. They paints him as a criminal. #AltonSterling",2018-03-27 15:29:56,"Theeciarahart",0,FALSE,FALSE,1
104,"RT @katiecmoore: La AG Jeff Landry: no state prosecution of BR Police officers in shooting death of #AltonSterling",2018-03-27 15:29:56,"ShotByLu",6,TRUE,FALSE,0
105,"RT @DaniW_Speaks: Attorney General of Louisiana states the police officers’ actions were well founded and reasonable. No charges will be pr…",2018-03-27 15:29:53,"jenn_budd",2,TRUE,FALSE,0
106,"Another black man senselessly murdered.  If we want to establish police accountability, we must start holding polic… https://t.co/VMbNiqwsd5",2018-03-27 15:29:49,"AdamDeMarco",0,FALSE,FALSE,2
107,"It’s nothing new! They never charge the cops #AltonSterling",2018-03-27 15:29:47,"SassyTMc",0,FALSE,FALSE,0
108,"RT @thelauracoates: BREAKING: No charges in #AltonSterling death at the hands of police officers whose actions have been described by prose…",2018-03-27 15:29:46,"AlumniUSC",65,TRUE,FALSE,0
109,"RT @thelauracoates: BREAKING: No charges in #AltonSterling death at the hands of police officers whose actions have been described by prose…",2018-03-27 15:29:42,"RealBostonJorge",65,TRUE,FALSE,0
110,"Where's was the information on the officers threatening #AltonSterling per the DOJ investigation, Jeff Landry?",2018-03-27 15:29:40,"PSNBatonRouge",0,FALSE,FALSE,0
111,"BREAKING: Baton Rouge officers who shot #AltonSterling won’t be charged in his 2016 killing https://t.co/RTTNOMy597",2018-03-27 15:29:35,"adv_project",3,FALSE,FALSE,1
112,"And of course he called what they did ""well founded &amp; reasonable"" too.
The run of cops getting away with murdering… https://t.co/3ySO5sM8RQ",2018-03-27 15:29:35,"KevDGrussing",2,FALSE,FALSE,2
113,"RT @TiGGyZTweetZ: #AltonSterling Baton Rouge officers who shot Alton Sterling won’t be charged in his 2016 killing https://t.co/zm59g4uud6",2018-03-27 15:29:34,"RelloDaRebel",1,TRUE,FALSE,0
114,"RT @aegallo: Reaction from #BatonRouge State Rep. Ted James on #AltonSterling announcement https://t.co/RVNu68v1lR",2018-03-27 15:29:33,"CalebBernacchio",4,TRUE,FALSE,0
115,"#AltonSterling Murderers, NO Charges",2018-03-27 15:29:32,"RaceForTheTimes",0,FALSE,FALSE,0
116,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBla…",2018-03-27 15:29:31,"kwillsmom",3550,TRUE,FALSE,0
117,"He has a name ... #AltonSterling https://t.co/B5aEM6NQST",2018-03-27 15:29:30,"SoMalerie",0,FALSE,FALSE,0
118,"RT @gabegutierrez: #breaking: Louisiana attorney general announces NO state charges against officers in #AltonSterling shooting death; they…",2018-03-27 15:29:27,"cfordwtva",21,TRUE,FALSE,0
