"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @iElijahManley: I want to carry the legacy of the #Parkland 17 to the school board of Broward County. I need your help to make that happ…",FALSE,0,NA,2018-03-27 12:32:07,FALSE,NA,"978610615936798721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabrieldunn",17,TRUE,FALSE,NA,NA
"RT @peterdaou: ""Repeal the #SecondAmendment"" is trending. While I get the rationale, I don't support that approach. More importantly, we ne…",FALSE,0,NA,2018-03-27 12:32:07,FALSE,NA,"978610615626489856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alchemy363",39,TRUE,FALSE,NA,NA
"Crazed 2nd amendment supporters are so scared of @Emma4Change that they are CREATING fake memes to smear her powerf… https://t.co/LAvNCM5YIH",FALSE,0,NA,2018-03-27 12:32:06,TRUE,NA,"978610612082266112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjb772",0,FALSE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:04,FALSE,NA,"978610605052526593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CFormigoni5",4840,TRUE,FALSE,NA,NA
"@LeighStewy @sigurdson_chris You are a horrible person for posting this with actual knowledge of it being fake. I’l… https://t.co/HLm7HYk334",FALSE,0,"LeighStewy",2018-03-27 12:32:01,TRUE,"977955894913740800","978610593648205824","1335397489","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cory_halpern",0,FALSE,FALSE,NA,NA
"RT @AaronWorthing: Don't you dare misappropriate the phrase #NeverAgain. It was what we said about the Holocaust. You take our guns, a new…",FALSE,0,NA,2018-03-27 12:31:57,FALSE,NA,"978610574656442368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Serafinos",1,TRUE,FALSE,NA,NA
"RT @peterdaou: ""Repeal the #SecondAmendment"" is trending. While I get the rationale, I don't support that approach. More importantly, we ne…",FALSE,0,NA,2018-03-27 12:31:56,FALSE,NA,"978610569048621062",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","sooze555",39,TRUE,FALSE,NA,NA
"RT @Rebecca_221B: We just launched a 'Students Demand Action' page with 8 ways to take action. Check it out! https://t.co/UkgZdb2kr9 #March…",FALSE,0,NA,2018-03-27 12:31:47,FALSE,NA,"978610533833297920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dawnbelue",198,TRUE,FALSE,NA,NA
"So, to follow Santorum's logic, black people should have freed themselves from slavery rather than waiting for othe… https://t.co/fYfewX60zk",FALSE,0,NA,2018-03-27 12:31:46,TRUE,NA,"978610529542594560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPOfriend",0,FALSE,FALSE,NA,NA
"RT @Fawkes_2017_: ������Mark Your Calendars! Remember the Date! Make Your Voice Heard! Get Registered! The Time is Now! #RegisterToVote #NoMore…",FALSE,0,NA,2018-03-27 12:31:44,FALSE,NA,"978610519312494593",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KittleMalinda",14,TRUE,FALSE,NA,NA
"@RepJBridenstine 
It is my opinion that if you don't speak out against your colleague @SteveKingIA for his hateful… https://t.co/GvIHfAVHRm",FALSE,0,"RepJBridenstine",2018-03-27 12:31:40,TRUE,NA,"978610505366560768","1092757885","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","funky5mab",0,FALSE,FALSE,NA,NA
"RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…",FALSE,0,NA,2018-03-27 12:31:39,FALSE,NA,"978610499372900352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","KrHarper7",81353,TRUE,FALSE,NA,NA
"RT @julleeg: My speech at the March for Our Lives Pittsburgh. Endlessly grateful for the opportunity to fight for this cause. #M4OL #NeverA…",FALSE,0,NA,2018-03-27 12:31:37,FALSE,NA,"978610492653568000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellabosco_",6,TRUE,FALSE,NA,NA
"Don't you dare misappropriate the phrase #NeverAgain. It was what we said about the Holocaust. You take our guns, a… https://t.co/NpU2DWuKQC",FALSE,1,NA,2018-03-27 12:31:35,TRUE,NA,"978610480934801409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AaronWorthing",1,FALSE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:31:33,FALSE,NA,"978610474886377473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MikenChey",4840,TRUE,FALSE,NA,NA
"RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…",FALSE,0,NA,2018-03-27 12:31:32,FALSE,NA,"978610469832482822",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mollymeebe",81353,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:31:31,FALSE,NA,"978610468054077440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","blindBobherofan",4840,TRUE,FALSE,NA,NA
"RT @sngitau: The NRA needs to be investigated extensively. Retweet if you agree.

We are still investigating the NRA. Help support our prob…",FALSE,0,NA,2018-03-27 12:31:31,FALSE,NA,"978610465097076736",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","linnyc2000",311,TRUE,FALSE,NA,NA
"RT @Goss30Goss: Guess the NRA &amp; idiots like Rick Santorum/Steve King feel powerful putting down teenagers who have survived a mass shooting…",FALSE,0,NA,2018-03-27 12:31:30,FALSE,NA,"978610461141848064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","massRN",978,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:31:28,FALSE,NA,"978610452329615361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","democracyforevr",4840,TRUE,FALSE,NA,NA
"RT @peterdaou: ""Repeal the #SecondAmendment"" is trending. While I get the rationale, I don't support that approach. More importantly, we ne…",FALSE,0,NA,2018-03-27 12:31:25,FALSE,NA,"978610442229698560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamtvr3",39,TRUE,FALSE,NA,NA
"RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…",FALSE,0,NA,2018-03-27 12:31:23,FALSE,NA,"978610434612674561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LindaHu22622584",81353,TRUE,FALSE,NA,NA
"RT @kiki_whaley: Nothing to add. Well said. #MarchForOurLives #NeverAgain https://t.co/TDot4CvRtD",FALSE,0,NA,2018-03-27 12:31:21,FALSE,NA,"978610422445166592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WendyKrause5",2,TRUE,FALSE,NA,NA
"RT @ddlovato: Yesterday we watched our future march for a greater tomorrow ������������❤️ #neveragain #MarchForOurLives https://t.co/4Le56pM5rC",FALSE,0,NA,2018-03-27 12:31:18,FALSE,NA,"978610411510607878",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeiderTucubal",8428,TRUE,FALSE,NA,NA
